Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1905-0003-IND,1905,3,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Kangra,,,,,,,,8,Richter,32.04,76.16,6:20,,1905,4,4,1905,4,4,20000,,,,,,,25000,3.522300102,,,,
1907-0006-CHN,1907,6,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Tien Shan,,,,,,,,7,Richter,38.5,69.9,9:23,,1907,10,21,1907,10,21,12000,,,,,,,,3.652755661,,,,
1914-0022-IDN,1914,22,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kepahyang, Bengkulu (Sumatera)",,Tsunami/Tidal wave,,,,,,8,Richter,-3.924,101.82,3:07,,1914,6,26,1914,6,26,20,20,,,20,,,,3.926712336,,,,
1917-0014-CHN,1917,14,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Yunnan province,,,,,,,,7,Richter,28,104,7:00,,1917,7,31,1917,7,31,1800,,,,,,,,5.022539034,,,,
1917-0003-IDN,1917,3,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Bali,,,,,,,,7,Richter,-7,116,7:08,,1917,1,21,1917,1,21,15000,,,,,,,,5.022539034,,,,
1918-0020-CHN,1918,20,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Kwangtung (Guangdong),,Tsunami/Tidal wave,,,,,,7,Richter,23.5,117,14:07,,1918,2,13,1918,2,13,10000,,,,,,,,5.896591282,,,,
1920-0007-CHN,1920,7,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Gansu, Shanxi provinces",,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,9,Richter,36.888,105.606,19:11,,1920,12,16,1920,12,16,180000,,,,,,,25000,7.853424672,,,,
1923-0019-CHN,1923,19,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Sichuan,,,,,,,,7,Richter,31.295,100.75,19:46,,1923,3,24,1923,3,24,5000,,,,,,,,6.679324638,,,,
1924-0007-IDN,1924,7,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Wonosobo (Central Java),,,,,,,,,Richter,-7.21,109.56,,,1924,12,2,1924,12,2,727,,,11250,11250,,,,6.718461305,,,,
1925-0002-CHN,1925,2,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Talifu (Yunnan province),,,,,,,,7,Richter,25.713,100.422,21:48,,1925,3,16,1925,3,16,5000,,,,,,,,6.875007977,,,,
1927-0014-IDN,1927,14,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sulawesi, Donggala",,Tsunami/Tidal wave,,,,,,6,Richter,-0.842,120.764,11:37,,1927,12,1,1927,12,1,50,50,,,50,,,,6.809780197,,,,
1927-0006-CHN,1927,6,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Gansu province,,,,,,,,8,Richter,37.645,102.489,5:38,,1927,5,23,1927,5,23,40912,524,,133370,133894,,,,6.809780197,,,,
1932-0009-IDN,1932,9,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kakas, Langowan, Poso, Tondano (North Sulawesi)",,,,,,,,7,Richter,0.5,126,21:08,,1932,5,14,1932,5,14,6,115,,2960,3075,,,,5.348677932,,,,
1933-0021-CHN,1933,21,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Sichuan prpvince,,,,,,,,8,Richter,31.9,103.4,14:50,,1933,8,25,1933,8,25,10000,,,,,,,,5.074721258,,,,
1936-0015-IDN,1936,15,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Banda Aceh, Lhok Sukon, Lhoksemawe",,Tsunami/Tidal wave,,,,,,7,Richter,6.1,94.7,4:12,,1936,8,24,1936,8,24,9,20,,,20,,,,5.439996824,,,,
1936-0011-IDN,1936,11,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Tapanuli, Karo (North Sumatera)",,,,,,,,,Richter,3.5,97.5,,,1936,9,9,1936,9,9,17,,,,,,,,5.439996824,,,,
1938-0009-IDN,1938,9,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Tomini Gulf (Central Sulawesi),,Tsunami/Tidal wave,,,,,,8,Richter,-0.557,118.881,1:08,,1938,5,20,1938,5,20,,,920,4710,5630,,,,5.51827016,,,,
1942-0021-CHN,1942,21,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Southern China, Yunnan",,,,,,,,,Richter,,,,,1942,1,3,1942,1,3,30,,,,,,,,6.405367963,,,,
1943-0024-IDN,1943,24,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Jogyakarta (Central Java),,,,,,,,7,Richter,-8.591,109.803,23:53,,1943,7,23,1943,7,23,213,2096,14000,,16096,,,,6.783689085,,,,
1950-0008-IND,1950,8,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Assam province,,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,9,Richter,28.5,96.5,19:39,,1950,8,15,1950,8,15,1500,,,,,,,20000,9.431936939,,,,
1954-0009-AFG,1954,9,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,North Region,,,,,,,,,Richter,36,66,,,1954,6,10,1954,6,10,2000,,,,,,,,10.52776364,,,,
1955-0038-CHN,1955,38,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Kangting, Sikang (Sichuan province)",,,,,,,,8,Richter,30,101.8,8:29,,1955,4,14,1955,4,14,39,113,,,113,,,,10.47300041,,,,
1956-0008-AFG,1956,8,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Kabul,,,,,,,,8,Richter,35.1,67.5,,,1956,6,10,1956,6,10,100,2000,,,2000,,,25000,10.63271917,,,,
1956-0038-IND,1956,38,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Anjar, Bhuj, Gandhidham, Kandla",,,,,,,,6,Richter,23,70,21:02,,1956,7,21,1956,7,21,113,219,,,219,,,,10.63271917,,,,
