,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Region,Continent,Latitude,Longitude,CPI,total_affected
0,1905,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,32.04,76.16,3.5223001018494,20000.0
1,1907,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,38.5,69.9,3.6527556611772,12000.0
2,1914,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-3.924,101.82,3.9267123357654,40.0
3,1917,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,28.0,104.0,5.0225390341186,1800.0
4,1917,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-7.0,116.0,5.0225390341186,15000.0
5,1918,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,23.5,117.0,5.8965912816145,10000.0
6,1920,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,36.888000000000005,105.60600000000001,7.8534246715309,180000.0
7,1923,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.295,100.75,6.6793246375811,5000.0
8,1924,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-7.21,109.56,6.7184613053794,11977.0
9,1925,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.713,100.42200000000001,6.8750079765728,5000.0
10,1927,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-0.8420000000000001,120.764,6.8097801969089,100.0
11,1927,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,37.645,102.48899999999999,6.8097801969089,174806.0
12,1932,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,0.5,126.0,5.348677932438,3081.0
13,1933,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,31.9,103.4,5.0747212578497,10000.0
14,1936,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,6.1,94.7,5.4399968239674,29.0
15,1936,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,3.5,97.5,5.4399968239674,17.0
16,1938,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-0.557,118.881,5.518270159564,5630.0
18,1943,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.591000000000001,109.803,6.7836890850433,16309.0
19,1950,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,28.5,96.5,9.4319369393968,1500.0
20,1954,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.0,66.0,10.5277636377498,2000.0
21,1955,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.0,101.8,10.473000409773,152.0
22,1956,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,35.1,67.5,10.6327191682906,2100.0
23,1956,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,23.0,70.0,10.6327191682906,332.0
24,1958,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-9.5,112.5,11.2878924132663,3369.0
25,1965,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-2.608,-125.95200000000001,12.3244326683639,15071.0
26,1967,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-3.7,119.3,13.048062107494,171.0
27,1967,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.965,113.01700000000001,13.048062107494,8465.0
29,1967,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,17.412,73.885,13.048062107494,52449.0
31,1969,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,22.316999999999997,111.8,14.3486278167258,56810.0
32,1970,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,24.185,102.54299999999999,15.1863354613098,10000.0
33,1970,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,21.7,73.0,15.1863354613098,226.0
34,1974,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,28.4,104.1,19.2868744704009,20000.0
35,1975,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,40.641,122.58,21.0503075151625,2000.0
36,1975,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,32.455,78.43,21.0503075151625,47.0
38,1976,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.61,67.79,22.259601389149,90050.0
39,1976,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.57,117.978,22.259601389149,406000.0
40,1976,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,30.37,104.06,22.259601389149,0.0
41,1976,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-4.603,140.091,22.259601389149,15420.0
42,1976,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,-8.17,114.88799999999999,22.259601389149,455328.0
