,Year,Country,Region,Continent,Latitude,Longitude,CPI,total_affected,cluster_labels
0,1905,4,2,0,32.04,76.16,3.5223001018494,20000.0,0.0
1,1907,3,0,0,38.5,69.9,3.6527556611772,12000.0,0.0
2,1914,5,1,0,-3.924,101.82,3.9267123357654,40.0,0.0
3,1917,3,0,0,28.0,104.0,5.0225390341186,1800.0,0.0
4,1917,5,1,0,-7.0,116.0,5.0225390341186,15000.0,0.0
5,1918,3,0,0,23.5,117.0,5.8965912816145005,10000.0,0.0
6,1920,3,0,0,36.88800000000001,105.606,7.8534246715309,180000.0,0.0
7,1923,3,0,0,31.295,100.75,6.679324637581099,5000.0,0.0
8,1924,5,1,0,-7.21,109.56,6.7184613053794005,11977.0,0.0
9,1925,3,0,0,25.713,100.422,6.8750079765728,5000.0,0.0
10,1927,5,1,0,-0.8420000000000001,120.764,6.809780196908901,100.0,0.0
11,1927,3,0,0,37.645,102.489,6.809780196908901,174806.0,0.0
12,1932,5,1,0,0.5,126.0,5.348677932438,3081.0,0.0
13,1933,3,0,0,31.9,103.4,5.0747212578497,10000.0,0.0
14,1936,5,1,0,6.1,94.7,5.439996823967401,29.0,0.0
15,1936,5,1,0,3.5,97.5,5.439996823967401,17.0,0.0
16,1938,5,1,0,-0.557,118.881,5.5182701595640005,5630.0,0.0
18,1943,5,1,0,-8.591000000000001,109.803,6.7836890850433,16309.0,0.0
19,1950,4,2,0,28.5,96.5,9.4319369393968,1500.0,0.0
20,1954,0,2,0,36.0,66.0,10.5277636377498,2000.0,0.0
21,1955,3,0,0,30.0,101.8,10.473000409773,152.0,0.0
22,1956,0,2,0,35.1,67.5,10.632719168290599,2100.0,0.0
23,1956,4,2,0,23.0,70.0,10.632719168290599,332.0,0.0
24,1958,5,1,0,-9.5,112.5,11.2878924132663,3369.0,0.0
25,1965,5,1,0,-2.608,-125.952,12.324432668363901,15071.0,0.0
26,1967,5,1,0,-3.7,119.3,13.048062107494,171.0,0.0
27,1967,5,1,0,-8.965,113.017,13.048062107494,8465.0,0.0
29,1967,4,2,0,17.412,73.885,13.048062107494,52449.0,0.0
31,1969,3,0,0,22.317,111.8,14.3486278167258,56810.0,0.0
32,1970,3,0,0,24.185,102.543,15.1863354613098,10000.0,0.0
33,1970,4,2,0,21.7,73.0,15.1863354613098,226.0,0.0
34,1974,3,0,0,28.4,104.1,19.2868744704009,20000.0,0.0
35,1975,3,0,0,40.641,122.58,21.050307515162498,2000.0,0.0
36,1975,4,2,0,32.455,78.43,21.050307515162498,47.0,0.0
38,1976,0,2,0,36.61,67.79,22.259601389148997,90050.0,1.0
39,1976,3,0,0,39.57,117.978,22.259601389148997,406000.0,1.0
40,1976,3,0,0,30.37,104.06,22.259601389148997,0.0,1.0
41,1976,5,1,0,-4.603,140.091,22.259601389148997,15420.0,0.0
42,1976,5,1,0,-8.17,114.888,22.259601389148997,455328.0,0.0
43,1976,5,1,0,-4.517,139.918,22.259601389148997,7133.0,0.0
44,1977,5,1,0,-11.164,118.378,23.7068509965271,4160.0,0.0
46,1930,7,1,0,17.86,96.43,6.548869078253301,500.0,0.0
47,1930,7,1,0,18.233,96.298,6.548869078253301,36.0,1.0
48,1935,9,2,0,29.5,66.8,5.374769044303499,85000.0,1.0
49,1941,7,1,0,22.408,99.814,5.7661357222868,15.0,2.0
50,1945,9,2,0,24.927,63.601000000000006,7.057645759631599,4000.0,2.0
51,1966,8,2,0,29.706,80.935,12.6960281686485,20180.0,2.0
52,1972,9,2,0,36.0,73.4,16.356524754182598,5100.0,2.0
53,1974,9,2,0,35.1,72.9,19.2868744704009,54900.0,2.0
54,1979,3,0,0,31.452,119.241,28.387598897135895,572574.0,2.0
55,1979,3,0,0,41.145,108.129,28.387598897135895,2104.0,2.0
57,1981,3,0,0,30.927,101.098,35.565171520591605,26000.0,2.0
58,1982,0,2,0,36.148,69.01100000000001,37.7458220769372,38500.0,2.0
59,1982,3,0,0,31.907,99.931,37.7458220769372,15.0,2.0
61,1983,0,2,0,34.01,71.4,38.9583793014576,34515.0,2.0
62,1983,3,0,0,35.206,115.213,38.9583793014576,18734.0,1.0
63,1984,0,2,0,34.26,70.28,40.6338038615079,36.0,2.0
64,1985,3,0,0,25.926,102.871,42.074526767818206,322.0,2.0
65,1985,3,0,0,39.431,75.22399999999998,42.074526767818206,16167.0,1.0
66,1986,3,0,0,31.24,86.84700000000001,42.8731298312885,290.0,1.0
68,1987,3,0,0,41.529,79.318,44.44423842484,2085.0,1.0
69,1987,3,0,0,24.924,115.608,44.44423842484,185084.0,1.0
73,1988,1,2,0,24.688,991.57,46.256556831435006,102.0,1.0
74,1988,3,0,0,38.111,106.336,46.256556831435006,50060.0,1.0
75,1988,3,0,0,22.789,99.611,46.256556831435006,1271303.0,1.0
76,1979,5,1,0,-1.679,136.04,28.387598897135895,5007.0,1.0
77,1979,5,1,0,8.21,115.95,28.387598897135895,36082.0,1.0
78,1979,5,1,0,-7.6560000000000015,108.252,28.387598897135895,43226.0,1.0
79,1979,5,1,0,-3.299,102.712,28.387598897135895,1505.0,1.0
80,1979,5,1,0,-8.39,115.889,28.387598897135895,651.0,1.0
84,1980,4,2,0,32.913000000000004,75.633,32.2338932328122,53.0,1.0
